solvent,dG,beta,gamma,dielectric,dispersion,polar,hydrogen,sum,dipole,Sig2,sample,Set
toluene,0.03260064,0.14,40.2,2.3741,18.0,1.4,2.0,21.4,0.63,23.6,TEST,Training
dodecane,1.449822769,0.0,35.85,2.006,16.1,0.0,0.0,16.1,0.0860386,13.2729,TRAIN,Training
quinoline,1.295416763,0.64,61.3,9.0,5.6,19.8,5.7,31.1,3.2377,47.9,TRAIN,Training
acetonitrile,0.67,0.32,41.25,35.688,15.3,18.0,6.1,39.4,5.1923,48.4,TRAIN,Training
NMP,1.239358686,0.75,57.88,32.0,18.0,12.3,7.2,37.5,5.9686,63.3,TEST,Training
"1,4-dioxane",0.745981478,0.64,47.14,2.2099,17.5,1.8,8.0,27.3,0.0023,51.0,TRAIN,Training
"1,2-dichlorobenzene",0.461561021,0.04,52.72,9.9949,19.2,6.3,3.3,28.8,3.635,25.2,TRAIN,Validation
anisole,1.239358686,0.29,50.52,4.2247,17.8,4.1,6.7,28.6,1.8857,36.9,TEST,Training
cyclohexane,-0.060050331,0.0,35.48,2.0165,16.8,0.0,0.2,17.0,0.0012,5.8815,TRAIN,Training
dibutyl ether,0.330386051,0.45,35.98,3.0473,14.4,2.9,5.1,22.4,1.6257,28.4947,TRAIN,Training
DMF,1.35449473,0.74,49.56,37.219,17.4,13.7,11.3,42.4,5.8704,60.1,TRAIN,Training
DMSO,1.555103536,0.88,61.78,46.826,18.4,16.4,10.2,45.0,5.9174,78.7,TRAIN,Training
mesitylene,0.905895283,0.19,39.65,2.265,18.0,1.0,1.0,20.0,0.1778,24.6,TRAIN,Validation
nitrobenzene,0.797361927,0.28,57.54,34.809,20.0,10.6,3.1,33.7,6.4667,47.5,TRAIN,Training
chlorobenzene,0.250669373,0.07,47.48,5.6968,19.0,4.3,2.0,25.3,2.4891,25.2,TEST,Training
benzonitrile,0.927365682,0.33,55.83,25.592,17.4,9.0,3.3,29.7,6.3402,47.3,TEST,Training
pyridine,0.824073987,0.52,52.62,12.978,19.0,8.8,5.9,33.7,3.2306,42.0,TRAIN,Training
tetralin,0.745981478,0.19,47.74,2.771,19.6,2.0,2.9,24.5,1.2577962,24.0069,TEST,Validation
THF,0.564003349,0.48,39.44,7.4257,16.8,5.7,8.0,30.5,2.5202,31.7,TEST,Training
xylenes,0.234883696,0.16,41.38,2.3879,17.8,1.0,3.1,21.9,0.4794967,24.2107,TEST,Validation
